date,current_price,strike,relative_strike,maturity_days,maturity_years,option_price,implied_vol,volume,option_type
2016-01-04,4497.85986328125,3600.0,0.8,30,0.0821917808219178,5.3,0.37092738932732966,10.0,put
2016-01-04,4497.85986328125,3600.0,0.8,60,0.1643835616438356,7.7,0.373916376170739,31.0,put
2016-01-04,4497.85986328125,3600.0,0.8,90,0.2465753424657534,17.54,0.3781396533908197,13.0,put
2016-01-04,4497.85986328125,3600.0,0.8,120,0.3287671232876712,62.3,0.3839361911734365,1.0,put
2016-01-04,4497.85986328125,3600.0,0.8,150,0.410958904109589,62.3,0.3916751892408614,1.0,put
2016-01-04,4497.85986328125,3600.0,0.8,180,0.4931506849315068,62.3,0.4016998921449671,1.0,put
2016-01-04,4497.85986328125,3600.0,0.8,360,0.9863013698630136,47.0,0.5385580359770205,1.0,put
2016-01-04,4497.85986328125,3825.0,0.85,30,0.0821917808219178,11.24,0.34665248237688084,10.0,put
2016-01-04,4497.85986328125,3825.0,0.85,60,0.1643835616438356,18.76,0.35017026165207105,23.0,put
2016-01-04,4497.85986328125,3825.0,0.85,90,0.2465753424657534,27.33,0.35503549496306225,4.0,put
2016-01-04,4497.85986328125,3825.0,0.85,120,0.3287671232876712,67.6,0.36162389430701963,2.0,put
2016-01-04,4497.85986328125,3825.0,0.85,150,0.410958904109589,67.6,0.37035075693246167,2.0,put
2016-01-04,4497.85986328125,3825.0,0.85,180,0.4931506849315068,67.6,0.38161274944155094,2.0,put
2016-01-04,4497.85986328125,3825.0,0.85,360,0.9863013698630136,393.25,0.6151312880272117,1.0,put
2016-01-04,4497.85986328125,4050.0,0.9,30,0.0821917808219178,25.0,0.32400007190471847,1.0,put
2016-01-04,4497.85986328125,4050.0,0.9,60,0.1643835616438356,34.32,0.327847154093518,15.0,put
2016-01-04,4497.85986328125,4050.0,0.9,90,0.2465753424657534,63.0,0.3331209398102567,10.0,put
2016-01-04,4497.85986328125,4050.0,0.9,120,0.3287671232876712,123.29,0.34022919175882027,4.0,put
2016-01-04,4497.85986328125,4050.0,0.9,150,0.410958904109589,123.29,0.3496314534593119,4.0,put
2016-01-04,4497.85986328125,4050.0,0.9,180,0.4931506849315068,123.29,0.36178195753676107,4.0,put
2016-01-04,4497.85986328125,4050.0,0.9,360,0.9863013698630136,393.25,0.6151312880272117,1.0,put
2016-01-04,4497.85986328125,4275.0,0.95,30,0.0821917808219178,55.9,0.30295916264077966,3.0,put
2016-01-04,4497.85986328125,4275.0,0.95,60,0.1643835616438356,71.25,0.306943553123399,7.0,put
2016-01-04,4497.85986328125,4275.0,0.95,90,0.2465753424657534,103.68,0.31239826629299794,1.0,put
2016-01-04,4497.85986328125,4275.0,0.95,120,0.3287671232876712,209.25,0.3197567273661558,2.0,put
2016-01-04,4497.85986328125,4275.0,0.95,150,0.410958904109589,209.25,0.3295183265316936,2.0,put
2016-01-04,4497.85986328125,4275.0,0.95,180,0.4931506849315068,209.25,0.3421957034850263,2.0,put
2016-01-04,4497.85986328125,4275.0,0.95,360,0.9863013698630136,393.25,0.6151312880272117,1.0,put
2016-01-04,4497.85986328125,4500.0,1.0,30,0.0821917808219178,98.11,0.2834246376203462,10.0,call
2016-01-04,4497.85986328125,4500.0,1.0,60,0.1643835616438356,125.5,0.2873685977967723,3.0,call
2016-01-04,4497.85986328125,4500.0,1.0,90,0.2465753424657534,134.53,0.2927904510646335,5.0,call
2016-01-04,4497.85986328125,4500.0,1.0,120,0.3287671232876712,244.88,0.30014131734619204,2.0,call
2016-01-04,4497.85986328125,4500.0,1.0,150,0.410958904109589,244.88,0.30995335138129615,2.0,call
2016-01-04,4497.85986328125,4500.0,1.0,180,0.4931506849315068,244.88,0.3227944919147769,2.0,call
2016-01-04,4497.85986328125,4500.0,1.0,360,0.9863013698630136,295.6,,1.0,call
