date,current_price,strike,relative_strike,maturity_days,maturity_years,option_price,implied_vol,volume,option_type
2023-01-03,10862.6396484375,8700.0,0.8,30,0.0821917808219178,2.2,0.31109549096286904,2.0,put
2023-01-03,10862.6396484375,8700.0,0.8,60,0.1643835616438356,54.2,0.3104996377116376,1.0,put
2023-01-03,10862.6396484375,8700.0,0.8,90,0.2465753424657534,54.2,0.30993458852270583,1.0,put
2023-01-03,10862.6396484375,8700.0,0.8,120,0.3287671232876712,87.15,0.3094050817188162,2.0,put
2023-01-03,10862.6396484375,8700.0,0.8,150,0.410958904109589,131.25,0.3089146191935399,3.0,put
2023-01-03,10862.6396484375,8700.0,0.8,180,0.4931506849315068,148.0,0.3084649319166658,4.0,put
2023-01-03,10862.6396484375,8700.0,0.8,360,0.9863013698630136,384.2,0.3322213031281233,4.0,put
2023-01-03,10862.6396484375,9225.0,0.85,30,0.0821917808219178,5.3,0.305020473305739,10.0,put
2023-01-03,10862.6396484375,9225.0,0.85,60,0.1643835616438356,104.6,0.3045361523573123,1.0,put
2023-01-03,10862.6396484375,9225.0,0.85,90,0.2465753424657534,104.6,0.30408643837519067,1.0,put
2023-01-03,10862.6396484375,9225.0,0.85,120,0.3287671232876712,172.8,0.3036753152060784,11.0,put
2023-01-03,10862.6396484375,9225.0,0.85,150,0.410958904109589,131.25,0.3033054222937476,3.0,put
2023-01-03,10862.6396484375,9225.0,0.85,180,0.4931506849315068,274.3,0.30297755279023647,4.0,put
2023-01-03,10862.6396484375,9225.0,0.85,360,0.9863013698630136,384.2,0.3322213031281233,4.0,put
2023-01-03,10862.6396484375,9775.0,0.9,30,0.0821917808219178,16.08,0.29937781931894725,7.0,put
2023-01-03,10862.6396484375,9775.0,0.9,60,0.1643835616438356,180.1,0.29897161737540123,3.0,put
2023-01-03,10862.6396484375,9775.0,0.9,90,0.2465753424657534,180.1,0.29860487205169545,3.0,put
2023-01-03,10862.6396484375,9775.0,0.9,120,0.3287671232876712,261.65,0.2982812552493215,15.0,put
2023-01-03,10862.6396484375,9775.0,0.9,150,0.410958904109589,360.18,0.2980029916769647,3.0,put
2023-01-03,10862.6396484375,9775.0,0.9,180,0.4931506849315068,378.6,0.2977703678449929,1.0,put
2023-01-03,10862.6396484375,9775.0,0.9,360,0.9863013698630136,594.48,0.3021099087067431,1.0,put
2023-01-03,10862.6396484375,10325.0,0.95,30,0.0821917808219178,89.46,0.29415610585835733,2.0,put
2023-01-03,10862.6396484375,10325.0,0.95,60,0.1643835616438356,335.3,0.29379400391441407,1.0,put
2023-01-03,10862.6396484375,10325.0,0.95,90,0.2465753424657534,335.3,0.2934772367599921,1.0,put
2023-01-03,10862.6396484375,10325.0,0.95,120,0.3287671232876712,456.03,0.29320959667623936,3.0,put
2023-01-03,10862.6396484375,10325.0,0.95,150,0.410958904109589,408.12,0.2929933350269137,4.0,put
2023-01-03,10862.6396484375,10325.0,0.95,180,0.4931506849315068,532.6,0.292828661818142,28.0,put
2023-01-03,10862.6396484375,10325.0,0.95,360,0.9863013698630136,927.05,0.2935320451971693,1.0,put
2023-01-03,10862.6396484375,10875.0,1.0,30,0.0821917808219178,279.5,0.2893548103776822,22.0,call
2023-01-03,10862.6396484375,10875.0,1.0,60,0.1643835616438356,542.9,0.2890017757970819,18.0,call
2023-01-03,10862.6396484375,10875.0,1.0,90,0.2465753424657534,542.9,0.28870094188360473,18.0,call
2023-01-03,10862.6396484375,10875.0,1.0,120,0.3287671232876712,649.6,0.288456643954733,216.0,call
2023-01-03,10862.6396484375,10875.0,1.0,150,0.410958904109589,479.82,0.2882715960399596,1.0,call
2023-01-03,10862.6396484375,10875.0,1.0,180,0.4931506849315068,570.29,0.28814636220113293,1.0,call
2023-01-03,10862.6396484375,10875.0,1.0,360,0.9863013698630136,1381.72,0.2950603519411214,1.0,call
2023-01-03,10862.6396484375,11400.0,1.05,30,0.0821917808219178,70.0,0.2849868598343689,17.0,call
2023-01-03,10862.6396484375,11400.0,1.05,60,0.1643835616438356,334.57,0.28460623003769553,2.0,call
2023-01-03,10862.6396484375,11400.0,1.05,90,0.2465753424657534,334.57,0.28428559396250896,2.0,call
2023-01-03,10862.6396484375,11400.0,1.05,120,0.3287671232876712,496.5,0.2840302448909462,1.0,call
2023-01-03,10862.6396484375,11400.0,1.05,150,0.410958904109589,479.82,0.28384379233672047,1.0,call
2023-01-03,10862.6396484375,11400.0,1.05,180,0.4931506849315068,570.29,0.28372758790323427,1.0,call
2023-01-03,10862.6396484375,11400.0,1.05,360,0.9863013698630136,1188.0,0.2701362971461743,120.0,call
2023-01-03,10862.6396484375,11950.0,1.1,30,0.0821917808219178,8.0,0.2810798377030184,1.0,call
