,strike_0.8_maturity_30,strike_0.8_maturity_60,strike_0.8_maturity_90,strike_0.8_maturity_120,strike_0.8_maturity_150,strike_0.8_maturity_180,strike_0.8_maturity_360,strike_0.85_maturity_30,strike_0.85_maturity_60,strike_0.85_maturity_90,strike_0.85_maturity_120,strike_0.85_maturity_150,strike_0.85_maturity_180,strike_0.85_maturity_360,strike_0.9_maturity_30,strike_0.9_maturity_60,strike_0.9_maturity_90,strike_0.9_maturity_120,strike_0.9_maturity_150,strike_0.9_maturity_180,strike_0.9_maturity_360,strike_0.95_maturity_30,strike_0.95_maturity_60,strike_0.95_maturity_90,strike_0.95_maturity_120,strike_0.95_maturity_150,strike_0.95_maturity_180,strike_0.95_maturity_360,strike_1.0_maturity_30,strike_1.0_maturity_60,strike_1.0_maturity_90,strike_1.0_maturity_120,strike_1.0_maturity_150,strike_1.0_maturity_180,strike_1.0_maturity_360,strike_1.05_maturity_30,strike_1.05_maturity_60,strike_1.05_maturity_90,strike_1.05_maturity_120,strike_1.05_maturity_150,strike_1.05_maturity_180,strike_1.05_maturity_360,strike_1.1_maturity_30,strike_1.1_maturity_60,strike_1.1_maturity_90,strike_1.1_maturity_120,strike_1.1_maturity_150,strike_1.1_maturity_180,strike_1.1_maturity_360,strike_1.15_maturity_30,strike_1.15_maturity_60,strike_1.15_maturity_90,strike_1.15_maturity_120,strike_1.15_maturity_150,strike_1.15_maturity_180,strike_1.15_maturity_360,strike_1.2_maturity_30,strike_1.2_maturity_60,strike_1.2_maturity_90,strike_1.2_maturity_120,strike_1.2_maturity_150,strike_1.2_maturity_180,strike_1.2_maturity_360
2015-11-02,-1.4100548767519272,-1.4178984380967363,-1.4195679231697036,-1.4268362382216444,-1.4268611936987756,-1.4260061259619072,-1.4167591876076022,-1.453313547082873,-1.4596306461461193,-1.460669295785046,-1.4641911098106042,-1.4615996016449606,-1.4597861904316136,-1.4364186488793478,-1.49698017548486,-1.500405938010496,-1.5010154192541336,-1.5009613662168597,-1.496544042760567,-1.489795547388845,-1.4568895887711142,-1.5410635502568628,-1.5396068261118452,-1.5419905366623647,-1.5375703722080651,-1.5301770351560637,-1.5204837568947427,-1.4749748143958281,-1.591895890361674,-1.5815529393392103,-1.58952192403867,-1.5885502763359372,-1.585398633362932,-1.5836783975804405,-1.5555071166200714,-1.6289732296142125,-1.6253007667007286,-1.6388148674771021,-1.642429559078314,-1.6488213210351104,-1.6546825051670857,-1.6416471610654009,-1.6459742519675422,-1.6510919079871373,-1.6681347906395334,-1.6708470260618549,-1.6767335346693641,-1.680763831762163,-1.6582790138851442,-1.6620998716206774,-1.668089863236532,-1.6881053994845114,-1.6919682131538636,-1.6980189182044718,-1.7016790438360432,-1.6745471322324836,-1.679691772122149,-1.6837528811759166,-1.7021199993039946,-1.7071055531837258,-1.7125199552945927,-1.7175875829602756,-1.6899923521065916
2015-11-03,-1.4565448168668396,-1.4540467369206855,-1.4537741602057803,-1.4571536706012014,-1.453917958226689,-1.4483879120214602,-1.4000135582291255,-1.4915359687192697,-1.4897526556192775,-1.489250088554794,-1.4897416364143838,-1.484521791380993,-1.478415550975076,-1.4176027586433801,-1.525206047514203,-1.5246726798363637,-1.5236968324073104,-1.521513636992137,-1.5158185857519866,-1.5051173325067932,-1.4356157283468451,-1.5586632161540956,-1.5582828632979115,-1.5586697946513448,-1.5530935092093834,-1.546145757247862,-1.5330990022587512,-1.4521199990906164,-1.5940145203745102,-1.5916979753364773,-1.5941350658312454,-1.5906437482265967,-1.5855966733223297,-1.5778314692690312,-1.504715153917891,-1.6017450682401635,-1.6252006182939693,-1.628805526032897,-1.6295449060915532,-1.627427316511382,-1.6262027718952106,-1.5636097455330935,-1.621646692091224,-1.6481828439869572,-1.6545249066157355,-1.6546024697638342,-1.6521205157141259,-1.6498735498361214,-1.5797862203884407,-1.6416024985014104,-1.665056290736695,-1.6732468670087297,-1.6741878815544284,-1.6720502742021863,-1.669946753659803,-1.5955696753896884,-1.6653337035260962,-1.6809884253475198,-1.6874720731952073,-1.6889340323843156,-1.686283400702423,-1.68546654314689,-1.610191695388291
2015-11-04,-1.3285682978878814,-1.3295674156137345,-1.3304075157415707,-1.3382403360046977,-1.3389219403929735,-1.3362922846943508,-1.343341376125054,-1.3769746652001396,-1.377086084786035,-1.3771197451635093,-1.3797695414427908,-1.3773496520504798,-1.3740239727048336,-1.3645762521355325,-1.4236144760219087,-1.4237392333675027,-1.423308627102439,-1.4214502417766237,-1.415666807817015,-1.4069817750707354,-1.3869608067518873,-1.4703524924271598,-1.468834649996954,-1.4699457041882267,-1.4630050642178096,-1.4525850983947755,-1.4399171740156889,-1.4063038752441757,-1.5250743724164944,-1.5218373677211134,-1.5319693857110182,-1.5330525645562085,-1.5324066893485644,-1.5364734455786013,-1.5289329005683356,-1.54220885788413,-1.5818961375535703,-1.6042360275711314,-1.6172570307568235,-1.634961157119424,-1.6533918135323102,-1.6703854979463368,-1.5651524298465147,-1.610309165563927,-1.6368266651356038,-1.6491544191593022,-1.665285818166098,-1.6818557706510886,-1.6862575752530569,-1.5817057958641867,-1.6268182337560813,-1.6578803741000225,-1.6711065092116066,-1.6866409862265,-1.7021060473981204,-1.7025492777513822,-1.6056180456636702,-1.6416088200850538,-1.6713394987926473,-1.685949293824673,-1.7001526953437838,-1.717265457923285,-1.718543309508766
2015-11-05,-1.4729361410379989,-1.4740805252473814,-1.4778018837314977,-1.4810888334987613,-1.4814555534772564,-1.4753676854413083,-1.443832072724932,-1.4945895229995747,-1.496749560880672,-1.5007477426052662,-1.5038253893892497,-1.5040186792317893,-1.4973939151384383,-1.459421004067651,-1.5143965161454496,-1.5171913806283388,-1.5212786579385695,-1.5255403646512373,-1.5259830887570465,-1.5187314177763003,-1.4755167458753817,-1.5328166726852521,-1.5362455220690108,-1.5409356704424262,-1.5456517148558875,-1.5480519829668433,-1.5408136256691467,-1.4894680191518086,-1.5433877772277036,-1.5437127438276226,-1.5414392518420528,-1.5418662610371654,-1.5463845977372879,-1.5467625791786286,-1.549807468256822,-1.5290438500481047,-1.5486425294067072,-1.5404924838870095,-1.5365626873125309,-1.536922679179466,-1.545627315161367,-1.5941785198850915,-1.552039102224122,-1.5651143207389324,-1.5575336471326233,-1.5540921461722774,-1.5551965167060608,-1.5643027638216427,-1.6079295059084742,-1.5748688805786542,-1.5840259486758805,-1.5752057670395017,-1.571492545783891,-1.5729928514159521,-1.5826993485015999,-1.6195501683128555,-1.5967132769854737,-1.601909247553971,-1.5924637487126887,-1.5885523223175866,-1.5896207051408846,-1.5974636031223692,-1.6301717886715628
2015-11-06,-1.4199338343420247,-1.4114168520991004,-1.4124532046091098,-1.410851025142089,-1.4083519794511437,-1.4005472068280476,-1.3423302552689997,-1.4291580889671862,-1.4233501702151092,-1.425295147093298,-1.4250598047115661,-1.4232456824181727,-1.4147663841182734,-1.3550053765316743,-1.434283327146291,-1.4330609088437867,-1.4356996986829884,-1.438444881541593,-1.4376304260143375,-1.4303009702498708,-1.3680604017699938,-1.4369816507037485,-1.4417832431278559,-1.4445139030919747,-1.4498616485551286,-1.453242305550489,-1.4463751063610375,-1.3798028211714974,-1.4250428913298698,-1.4351209879194458,-1.4274204315159955,-1.426112657690207,-1.4318334150084446,-1.4287543866343762,-1.4040042338290866,-1.3769661898809904,-1.423611593009809,-1.4069383253144052,-1.398358003419513,-1.3953745414915806,-1.3967554215910272,-1.4062624695900954,-1.4046119998829258,-1.4361612562996313,-1.418422171539364,-1.410729770595595,-1.4093286221884123,-1.4112309112332466,-1.4196027873085584,-1.4309061395068803,-1.4558126569264067,-1.435070707554928,-1.426712685375619,-1.4253203838582715,-1.4278660312462064,-1.430166620268823,-1.4572075748336146,-1.4745225142434593,-1.4536752861889166,-1.444513469224895,-1.4427777534867572,-1.4425624414376774,-1.4400434965942621
2015-11-09,-1.4631099637269618,-1.4622246856733643,-1.4608852449773149,-1.4730475845956832,-1.472349484090382,-1.4809105093843786,-1.506846147013785,-1.517877000756396,-1.5159433184332929,-1.5143061799162676,-1.5201217695837577,-1.514673884838201,-1.5220123114959583,-1.5301248425683938,-1.5698575995955197,-1.5699976134682732,-1.5685290016879676,-1.5665909207138802,-1.5590258605294798,-1.5567234230336549,-1.5539434138289245,-1.6234378531381493,-1.6223278428303023,-1.6244811288117225,-1.6138196496259134,-1.6008954169088359,-1.5928487341495319,-1.5758034397426606,-1.6894023518916925,-1.6879351762137524,-1.7057325203687186,-1.7030193008354475,-1.6984452349460357,-1.693311141465342,-1.6310975377083403,-1.6894764842901864,-1.7558525426483464,-1.7880857935227237,-1.796981239799695,-1.809848968201033,-1.806139094664597,-1.7080909194899487,-1.7088246652789476,-1.7857664805107212,-1.824603752971893,-1.8309940982382455,-1.8432165510739011,-1.8358741764105235,-1.7288207128033664,-1.7222452599324451,-1.7975439044652066,-1.842572710148601,-1.851818229910348,-1.8641238565150757,-1.856323301922569,-1.7497643405193026,-1.7479167428117213,-1.8075851633040907,-1.8494472177226065,-1.8608465818759674,-1.8722937255662027,-1.8697469463615144,-1.7691980759646548
2015-11-10,-1.4354887147948432,-1.4184327179610736,-1.4182274008418405,-1.4201040165970267,-1.4165407726374966,-1.3969386747044898,-1.3290322050548027,-1.4770512744923785,-1.463479952882557,-1.4624077199344145,-1.4592497869671994,-1.4537534089040907,-1.4351067619556823,-1.3482143562550557,-1.514566177157517,-1.507599300068469,-1.5047798858660713,-1.4982990405692866,-1.4909485485292089,-1.4672780113244146,-1.3680631833998012,-1.550983501868135,-1.550436058638362,-1.5476126645673745,-1.5372283358790937,-1.5266194560864936,-1.5004245158653504,-1.3853769053221745,-1.5894808704381695,-1.597842567528338,-1.5971959291179862,-1.59633209655948,-1.5917311986116722,-1.5905513056638125,-1.5304401395800151,-1.5690412798016244,-1.6552823216480346,-1.6606520393339075,-1.6782331861582387,-1.6839186561638977,-1.7088082243346294,-1.7091216202950972,-1.5981602855682495,-1.681626848897657,-1.6903529283027725,-1.7083262573667535,-1.7107491713666685,-1.7367518240273359,-1.7216108735604079,-1.622451681046693,-1.6987617484935458,-1.7112207622833897,-1.7287789730954128,-1.7309959236435104,-1.7566621427391431,-1.7357782669848025,-1.6596293176802241,-1.7150078199724692,-1.7262579520762804,-1.7440871545649927,-1.7446592507603635,-1.771266371649297,-1.749055565377836
2015-11-11,-1.2663194308260157,-1.2497971024381715,-1.2456636576033557,-1.2478854958313526,-1.242441477010242,-1.2244536070492842,-1.1632280536905422,-1.3249080577512071,-1.3101281519934247,-1.3042758059306776,-1.2982645898996064,-1.2888678545481287,-1.2714325603642944,-1.1851072356368868,-1.380463834389462,-1.3707631634161623,-1.3627616262225182,-1.3495900469168916,-1.3356455906830857,-1.3102892761826141,-1.208182132490901,-1.435905475365629,-1.4302162002037158,-1.4226424549182832,-1.4020591031726068,-1.380239818814926,-1.3493409959495914,-1.22855797416119,-1.5055429527702755,-1.50866828808494,-1.5150243113966324,-1.5127627496456828,-1.501276083740319,-1.4989763588588585,-1.4013268703207462,-1.525059788070725,-1.6033201919426174,-1.6282652619124227,-1.6550079944303504,-1.6695050414031498,-1.694818017957263,-1.631919058845166,-1.5523817211951279,-1.6384492454262838,-1.6686745645104888,-1.6949503856110633,-1.7047479751788008,-1.7290321920574807,-1.6460924126266512,-1.5718835436923644,-1.6550061221451644,-1.6927475771182656,-1.7194592031233256,-1.728143774532529,-1.7505966909744837,-1.6638790540890902,-1.607818859764043,-1.6702844631855376,-1.7065192124392983,-1.7345292007864972,-1.7410982364110372,-1.7668865295499672,-1.681663985479291
2015-11-12,-1.4689806166716255,-1.4489665924763229,-1.4451566287700828,-1.4495073159316874,-1.443526540662486,-1.4319050962567885,-1.372917311403902,-1.5204567509316025,-1.5034795257645044,-1.498899514004241,-1.4962500844645743,-1.4864372333922051,-1.4752735697967612,-1.3942480611870915,-1.5672743678931182,-1.5584750450063178,-1.5524477300124715,-1.5427421869453481,-1.5311162142056216,-1.5107414868154594,-1.41595423648917,-1.614363811736073,-1.6121652367811983,-1.6077386396315383,-1.5902674511566355,-1.5733043802520896,-1.547998552371293,-1.4360195602150527,-1.6707809360340553,-1.6796624195026801,-1.6863798140538435,-1.6816831234736314,-1.671028173442528,-1.6615289537720215,-1.537604081064945,-1.6494878030441402,-1.7558998115627906,-1.7745805055793542,-1.7922242766258656,-1.7964015560599809,-1.803849929824227,-1.6847002330199432,-1.6757414741060108,-1.7863889223935305,-1.8107921879300206,-1.8272066418795938,-1.8282581620894176,-1.8347754398153766,-1.7013320623754224,-1.696475949211399,-1.7998816454833715,-1.8305261851532553,-1.848241737955716,-1.8492298086918617,-1.8553485327990158,-1.7202656744387887,-1.735392565683961,-1.8123835237083092,-1.8403700416106723,-1.8592224582686958,-1.8587464212031286,-1.8693615878429126,-1.737752254648523
2015-11-13,-1.2207285085801962,-1.2124858444396884,-1.2062608885703643,-1.2139164745088273,-1.2093583645616168,-1.2081035795851014,-1.2014816719289745,-1.2899271141583328,-1.280500646926676,-1.2727432517507125,-1.2707452197511355,-1.2601647652546097,-1.258043787891634,-1.2261031588261748,-1.35673648680978,-1.3498696922232862,-1.341084332109037,-1.3285828633017707,-1.3125736986355239,-1.2993885140597614,-1.2520050264748448,-1.4250968685201209,-1.417884262393974,-1.4116691392809484,-1.3883439016994874,-1.3622551047010552,-1.340865127585049,-1.275568551141587,-1.5159731302683397,-1.5134473818128984,-1.5318147149423833,-1.5280374623961241,-1.5151853458633426,-1.5102865765547109,-1.4002619505063192,-1.5533299800694327,-1.6222305264951005,-1.6673694787222142,-1.691136504169601,-1.7125168790778305,-1.7209068256991251,-1.5815139324599807,-1.575349751072478,-1.6613184060984796,-1.71389857537628,-1.7353555500447049,-1.7532877076396491,-1.7572857509154245,-1.6008437710975632,-1.587649247457652,-1.674758374174791,-1.7370844493125168,-1.7610377864647928,-1.7776705162169208,-1.7793127703107614,-1.6233561378977133,-1.6171359616765943,-1.6862988581397218,-1.7460196505484082,-1.7725752179613008,-1.7874090133685998,-1.7953664660732578,-1.6458483720028687
