strike_0.8_maturity_30,strike_0.8_maturity_60,strike_0.8_maturity_90,strike_0.8_maturity_120,strike_0.8_maturity_150,strike_0.8_maturity_180,strike_0.8_maturity_360,strike_0.85_maturity_30,strike_0.85_maturity_60,strike_0.85_maturity_90,strike_0.85_maturity_120,strike_0.85_maturity_150,strike_0.85_maturity_180,strike_0.85_maturity_360,strike_0.9_maturity_30,strike_0.9_maturity_60,strike_0.9_maturity_90,strike_0.9_maturity_120,strike_0.9_maturity_150,strike_0.9_maturity_180,strike_0.9_maturity_360,strike_0.95_maturity_30,strike_0.95_maturity_60,strike_0.95_maturity_90,strike_0.95_maturity_120,strike_0.95_maturity_150,strike_0.95_maturity_180,strike_0.95_maturity_360,strike_1.0_maturity_30,strike_1.0_maturity_60,strike_1.0_maturity_90,strike_1.0_maturity_120,strike_1.0_maturity_150,strike_1.0_maturity_180,strike_1.0_maturity_360,strike_1.05_maturity_30,strike_1.05_maturity_60,strike_1.05_maturity_90,strike_1.05_maturity_120,strike_1.05_maturity_150,strike_1.05_maturity_180,strike_1.05_maturity_360,strike_1.1_maturity_30,strike_1.1_maturity_60,strike_1.1_maturity_90,strike_1.1_maturity_120,strike_1.1_maturity_150,strike_1.1_maturity_180,strike_1.1_maturity_360,strike_1.15_maturity_30,strike_1.15_maturity_60,strike_1.15_maturity_90,strike_1.15_maturity_120,strike_1.15_maturity_150,strike_1.15_maturity_180,strike_1.15_maturity_360,strike_1.2_maturity_30,strike_1.2_maturity_60,strike_1.2_maturity_90,strike_1.2_maturity_120,strike_1.2_maturity_150,strike_1.2_maturity_180,strike_1.2_maturity_360
-1.160653864011522,-1.1661691041600801,-1.1711811288907232,-1.1753842361315892,-1.1783583903381727,-1.1795720392255538,-1.129407783170222,-1.238766940194671,-1.242065800237489,-1.2443312921589453,-1.2451141215840504,-1.2438432976260754,-1.2398623094039982,-1.1475138074726337,-1.314337581806993,-1.3155179439803997,-1.3151632983009032,-1.3126877526658816,-1.3073756692420515,-1.2984484276073296,-1.1653808012793865,-1.3862048331995913,-1.3854624442899202,-1.3827294533686194,-1.3772929824874676,-1.3683001723727857,-1.3548509960391169,-1.1833026796883448,-1.4539897268998008,-1.4515904408841387,-1.4468022245189869,-1.4387960910370066,-1.4265893687804683,-1.409158784477723,-1.2017406850446544,-1.5178935629708792,-1.514146952337718,-1.50767659483205,-1.49754881405032,-1.4826582149704048,-1.4618544575726315,-1.2212832058138925,-1.5784542184876702,-1.5736935287116711,-1.5659410435651737,-1.55417026466479,-1.5371602527751713,-1.513629029318845,-1.2426182110705946,-1.636330918644803,-1.6309003431466345,-1.6222787355729784,-1.6093594694962166,-1.5908142384085928,-1.5652257538944996,-1.266519058786628,-1.6921434251952623,-1.6863910032847924,-1.6773190964358842,-1.6637551187370985,-1.6442737683666293,-1.6173216099783232,-1.2938369752783867
-1.129407938681604,-1.2024450276223795,-1.2089498091749595,-1.2148018712688158,-1.2195604548959917,-1.2226205174393354,-1.17169753767306,-1.2164783955016159,-1.272833091724721,-1.2774678016073744,-1.2809933876254516,-1.2828705996025158,-1.2824157652047916,-1.2021769171574601,-1.4271128031206644,-1.3414610054268052,-1.3443437104527536,-1.3457064117333164,-1.344923029713571,-1.3412407989760957,-1.2339457210126117,-1.5528652698841647,-1.407606183036462,-1.408935182563988,-1.4083928026944657,-1.4052791214509737,-1.398781393414837,-1.2673993134780792,-2.3742164842896494,-1.4710197089502288,-1.471057207132283,-1.468941240966756,-1.4639116123147007,-1.455103963477637,-1.3031192416190898,-2.3983519157497653,-1.5318123974477362,-1.5308685405658533,-1.5275650528364884,-1.5210953825145521,-1.5105514923804688,-1.3418511803122488,-2.3983519157497653,-1.59031640978611,-1.5887364327737425,-1.5846713767741194,-1.5772828416570144,-1.565627379031297,-1.3844802014359243,-2.3983519157497653,-1.6469545013912184,-1.645109576041113,-1.640738931505981,-1.6329879291749243,-1.620887348865964,-1.4319995757343704,-2.3983519157497653,-1.7021290543811431,-1.700409713250302,-1.696212791500086,-1.688684764143891,-1.6768427700949646,-1.48546054156928
-1.055083877791009,-1.2160323565813675,-1.2181059046143952,-1.21788148286069,-1.2145590462827058,-1.2073350844283275,-1.0994494174635077,-1.2227476851388857,-1.2732604499789304,-1.2736249144043552,-1.2712715770158665,-1.2653212573398054,-1.254921694376392,-1.1246636482777355,-1.346569960446286,-1.3292688793473348,-1.328060744354464,-1.323764072343095,-1.3154323703334705,-1.3021734789471238,-1.1521679946710899,-1.5460106033521104,-1.384007238803533,-1.381435615937714,-1.3754658064374965,-1.3650964596828894,-1.3494032741356312,-1.1828191295808939,-2.399545859341789,-1.437644017818259,-1.433984410937994,-1.4266891548152052,-1.414715322232222,-1.3971136311443804,-1.217645944520718,-2.4008994314825003,-1.490490514282674,-1.4860804398064773,-1.4778806383125112,-1.4648212808953054,-1.4459355597422108,-1.2578500473552905,-2.4008994314825003,-1.5429292790035551,-1.5381657582151878,-1.529553866206103,-1.516013771353654,-1.4965700389614092,-1.3047951866293692,-2.4008994314825003,-1.5953414388666363,-1.5906791726505305,-1.5822185288536168,-1.5688897622758284,-1.54972046538861,-1.3599652151079564,-2.4008994314825003,-1.6480259914098403,-1.6439737354794464,-1.6362956849512114,-1.6239563974607334,-1.6060022599812245,-1.4248647858853345
-1.0455079494476491,-1.215836485715591,-1.2230736911979774,-1.2288013952063275,-1.2323650495922374,-1.232964043242243,-1.1489195666727559,-1.34651502349024,-1.2786879230848724,-1.2840169767144076,-1.2874052367806925,-1.2880839268492557,-1.2851402892055057,-1.1690692676868735,-1.34651502349024,-1.3394805706871127,-1.3430475512298476,-1.3442744718417328,-1.3422831255857615,-1.3360497182710982,-1.1892862623522817,-1.5421755034720979,-1.39765264812349,-1.3996790369645962,-1.399011264258992,-1.3946684538127891,-1.3855176081073497,-1.2100852730628462,-1.654658333929717,-1.453068921160827,-1.4538359429738603,-1.4516099018674904,-1.4453156321462768,-1.4337135356570567,-1.2321753060936644,-2.355523268009526,-1.5059255162143255,-1.5057622750197666,-1.5023706345329113,-1.4945912943955066,-1.4810820617772107,-1.256505053818668,-2.3252244374995636,-1.5566401897950242,-1.5559179652229884,-1.5518040224237637,-1.5430675677023218,-1.5282704935527185,-1.2843388746812763,-2.3252244374995636,-1.6057459445858167,-1.604879026130866,-1.6005393553101324,-1.5914410629775833,-1.576061469450556,-1.3173623824761191,-2.3252244374995636,-1.6537874565993842,-1.6532387734304157,-1.6492320169937396,-1.640448289987673,-1.625299140815096,-1.3577965545385826
-1.3056160740907934,-1.3066788275482082,-1.3066912982006276,-1.3051856896791032,-1.3015713634274344,-1.2952002335326334,-1.206164024600268,-1.371259392455677,-1.3708265714440386,-1.3690136157360373,-1.3652597070197292,-1.3588810881824762,-1.3491663264550713,-1.23803938402283,-1.4350255912201089,-1.4332359835451864,-1.429772339197659,-1.4239917237547783,-1.4151287659541711,-1.4024177675619243,-1.2720932207712226,-1.4964842179176292,-1.49352431324817,-1.4886402393120857,-1.4811188717300943,-1.470124869827802,-1.4548457422554797,-1.3085488686828377,-1.555676275286534,-1.5517646458074765,-1.5457271285304957,-1.5367926537000898,-1.5240671596554292,-1.5066971915394942,-1.347807075468934,-1.6129880224562627,-1.6083635336095066,-1.6014625555464606,-1.5914683870222166,-1.5774390854156533,-1.5584848685115666,-1.3904547146260298,-1.6690173500988947,-1.6639328472767285,-1.6564745329782835,-1.645792635612362,-1.6309081988771874,-1.6108993423045215,-1.437275582893415,-1.72445281635758,-1.71917421381999,-1.7114806525026904,-1.7005026465841748,-1.6852359398350678,-1.664731449333912,-1.4892622123954455,-1.7799614691848058,-1.774770884028642,-1.7671849688823298,-1.7563295372669803,-1.7411887770330154,-1.720793391162474,-1.5476143296057747
-1.2689988601834714,-1.2749235321200776,-1.2806120263547824,-1.2857995510036075,-1.2900397020871912,-1.2926222706271726,-1.2156467930712325,-1.3407691035049665,-1.3452848646671642,-1.3493455908032532,-1.3526195598405366,-1.3545704562793035,-1.354371767286189,-1.2460962787972116,-1.410082080226,-1.4133802759264749,-1.4160450921058503,-1.417688466609825,-1.4176964306662954,-1.4151385321961825,-1.2787766444463717,-1.4760604411923066,-1.4783904172971718,-1.4799563399556046,-1.4803259262021495,-1.4788216310079705,-1.4744234780898613,-1.3140277252990993,-1.538427364302333,-1.540076712993975,-1.5408830054703484,-1.5403828117022167,-1.537850405903491,-1.532192562009884,-1.3524831230525571,-1.5973680672644037,-1.5986457413368484,-1.599054897542197,-1.59811479064547,-1.5950682396729217,-1.5887673666395261,-1.3951000435076493,-1.6533495537349838,-1.6545743016615613,-1.6549595059214486,-1.6540218492372534,-1.6509912146097672,-1.6446870145626602,-1.443179121139155,-1.706941470012569,-1.7084353540644786,-1.7091738945439234,-1.7086872408528615,-1.7062134073592043,-1.7005657619981092,-1.4983558016033227,-1.7586522620327993,-1.7607368496712814,-1.7622065009345307,-1.7626225898183197,-1.7612556637141283,-1.7569458296541942,-1.5625103326297158
-1.0788725785778732,-1.272033038834561,-1.2768918476878601,-1.2812446503966148,-1.2846941845776956,-1.2866759844576878,-1.231643280250818,-1.1929009835227469,-1.3405010581765404,-1.3435215274108914,-1.3456704678399471,-1.3464917452479723,-1.345389214097443,-1.2691945968506904,-1.2547743958284125,-1.4067036915513205,-1.4081476549374006,-1.4084237037346723,-1.4070322670579503,-1.4033580172767848,-1.3100998421541268,-1.4359673818715766,-1.470234035862926,-1.4704204235677258,-1.4692185627031757,-1.4661005419784439,-1.4604427393351034,-1.3545976849105354,-1.5360799859967487,-1.5310598132635447,-1.5303491982424842,-1.5281097592340351,-1.52379972549514,-1.5167966430357107,-1.4030863453480342,-2.3498695145477964,-1.5894239417108778,-1.5882059244546942,-1.5854000936671655,-1.5804648066882967,-1.5727873586874395,-1.4561160309401315,-2.3498695145477964,-1.6457201124454757,-1.6444049167354369,-1.6415257432816566,-1.6365549677064068,-1.6288980575373617,-1.5143548215031233,-2.3498695145477964,-1.7003623928320393,-1.6993758212596881,-1.6969334531351035,-1.692536007419265,-1.6856161604055764,-1.5785179866718237,-2.3498695145477964,-1.753655959845852,-1.7534348425107376,-1.7519524066250725,-1.7487530020576552,-1.743306892138313,-1.6492423002391245
-1.0880975931209411,-1.305826851223603,-1.3073925757324962,-1.3070987390542856,-1.304153093411512,-1.2976450122575667,-1.1801994198335721,-1.278972194473099,-1.3698755033426913,-1.3694950745986552,-1.3667727623989527,-1.3607904860187625,-1.350524648459,-1.2010191778399337,-1.3684081420037844,-1.4314979757899309,-1.4294374397135456,-1.4246162878690565,-1.4159984318562984,-1.402445538995841,-1.2229713669015507,-1.532437865298396,-1.48993698321422,-1.4865363174703763,-1.4800327505976958,-1.4692815652289108,-1.453027853998573,-1.2463077938900236,-1.7246901140501376,-1.5449243519900335,-1.5405715353959042,-1.5328571709397938,-1.5205385120119355,-1.502242879467893,-1.2714366488235698,-2.298553452126625,-1.5965514847957472,-1.591662051173461,-1.5832396324476676,-1.5699554893844767,-1.550319790914875,-1.298943022908343,-2.2891814289928094,-1.6451220855917938,-1.6401265554984334,-1.6315159559422525,-1.6178897245444528,-1.597644854574432,-1.3296235056070074,-2.2891814289928094,-1.6910228329187196,-1.686361598628,-1.678095106126357,-1.664768371742509,-1.6446744527650377,-1.3645415493077742,-2.2891814289928094,-1.7346222848049462,-1.7307456705609792,-1.7233696685498763,-1.7110069509425114,-1.6918634928814098,-1.4051003995267075
-1.0038315960426338,-1.3021484833468466,-1.3097438398958428,-1.3168679892997428,-1.3230903252226456,-1.327792599515218,-1.3041527066496743,-1.1361331746129433,-1.3658175646334265,-1.372398404865816,-1.3782868275181688,-1.3830162168487017,-1.3859583738116459,-1.3531717944712138,-1.408554514279019,-1.4268505798810844,-1.432711220120098,-1.4377372470615646,-1.4414455792094003,-1.4432127308780676,-1.4055824586722616,-1.5269306173959967,-1.4843039292960827,-1.489797847681286,-1.4944019834687923,-1.4976365417541513,-1.498895992816159,-1.4610732231817247,-2.1405624382407673,-1.5377497295151816,-1.543269339812476,-1.5479341198790297,-1.551286984798292,-1.5527524496350538,-1.5195569359187677,-2.1223701101383847,-1.587135548038734,-1.5930971533347211,-1.598329111561255,-1.6024161567484467,-1.6048245219750619,-1.581160806658975,-2.1893431115701567,-1.6326173921624003,-1.6394524784965854,-1.6457723319194348,-1.6512227122760368,-1.6553238082870327,-1.6461821641947727,-2.1893431115701567,-1.6744062906224977,-1.6825570345537164,-1.6904953056396377,-1.6979478089326638,-1.7045025542682462,-1.7150095712468094,-2.1893431115701567,-1.7126440792227864,-1.7225581071457496,-1.732650130125652,-1.7427490101879415,-1.7525270842203478,-1.787989133449336
-1.2873351541013498,-1.2921837053697152,-1.2971548973567701,-1.3022129135064224,-1.3072580862098138,-1.3120875446920421,-1.3123808862018669,-1.3587608960353033,-1.362745195445221,-1.3667284009222238,-1.370639215965817,-1.3743422278377226,-1.3776101001881589,-1.3676459775477643,-1.4254529279156647,-1.4287773029346709,-1.43202897862641,-1.4351180157226227,-1.43789199294136,-1.4401158555910205,-1.4242437894495732,-1.4865733309582507,-1.4894784646037789,-1.4922928335120509,-1.4949241429482458,-1.4972204803243396,-1.498953648047026,-1.4815449167328916,-1.541925082398438,-1.5446660580673308,-1.547349792253066,-1.5498967088285882,-1.5521712562771142,-1.5539646368441606,-1.5392131559360376,-1.591762867161611,-1.5945925850481684,-1.5974461806650688,-1.6002703828381564,-1.6029601484344291,-1.605337031066758,-1.597155535347172,-1.6365982985777083,-1.6397574990974133,-1.6430644499958325,-1.6465042854601113,-1.6500151074639189,-1.6534586988265096,-1.6554527936774488,-1.6770394847161878,-1.6807524522849555,-1.6847749310090385,-1.6891412247300202,-1.6938439877718114,-1.6987944929976964,-1.7142864632636161,-1.7136758168286361,-1.7181496912407703,-1.7231282401042698,-1.7287045502612048,-1.7349362646949247,-1.7417931189745401,-1.7738652756962017
