contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,symbol,type
NDXP251117C23800000,2025-11-06 15:06:27+00:00,23800.0,1627.85,1152.8,1331.8,0.0,0.0,1.0,1,0.5875437974548339,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C23900000,2025-11-06 15:06:27+00:00,23900.0,1533.85,1054.0,1241.3,0.0,0.0,1.0,1,0.5713009789276123,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C24500000,2025-11-07 17:09:01+00:00,24500.0,390.8,538.3,610.0,-96.400024,-19.78654,10.0,1,0.32069504079818717,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C24600000,2025-11-07 18:00:13+00:00,24600.0,478.2,451.2,522.0,0.0,0.0,2.0,1,0.30122311332702634,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C24700000,2025-11-14 19:09:30+00:00,24700.0,421.38,377.9,417.9,18.890015,4.693288,4.0,2,0.25798776687622077,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C24800000,2025-11-14 16:24:18+00:00,24800.0,397.25,298.1,338.0,-279.22998,-41.2769,14.0,1,0.24229998125076294,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C24900000,2025-11-14 20:48:35+00:00,24900.0,230.0,225.0,264.5,-331.28998,-59.022964,38.0,1,0.22808846870422364,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C25000000,2025-11-14 21:07:05+00:00,25000.0,158.9,176.1,186.9,-75.850006,-32.31097,112.0,29,0.20206867885589597,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C25100000,2025-11-14 21:06:47+00:00,25100.0,98.75,121.2,132.0,-89.350006,-47.50133,82.0,17,0.1920609206581116,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C25200000,2025-11-14 21:03:04+00:00,25200.0,68.24,77.0,88.0,-69.76,-50.550728,123.0,6,0.183502732925415,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C25300000,2025-11-14 21:00:18+00:00,25300.0,37.6,44.4,54.8,-63.050003,-62.642826,73.0,7,0.17602981571197512,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C25400000,2025-11-14 21:11:16+00:00,25400.0,24.0,19.7,25.9,-47.25,-66.31579,67.0,26,0.1587646685409546,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C25500000,2025-11-14 21:14:44+00:00,25500.0,12.0,10.8,12.4,-32.0,-72.72727,237.0,104,0.15200890724182128,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C25600000,2025-11-14 21:03:20+00:00,25600.0,3.37,4.4,5.3,-25.2,-88.204414,257.0,84,0.14653868606567383,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C25700000,2025-11-14 21:03:20+00:00,25700.0,1.48,1.65,3.2,-19.02,-92.78049,72.0,40,0.15255058883666994,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C25800000,2025-11-14 21:11:53+00:00,25800.0,1.02,0.6,1.75,-13.48,-92.965515,59.0,14,0.15616688568115233,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C25900000,2025-11-14 21:11:53+00:00,25900.0,0.62,0.2,1.2,-8.08,-92.873566,66.0,19,0.16446758392333982,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C26000000,2025-11-14 20:55:24+00:00,26000.0,0.5,0.0,1.0,-4.7,-90.38461,53.0,38,0.1762472512817383,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C26100000,2025-11-14 20:52:45+00:00,26100.0,0.54,0.1,0.7,-3.3600001,-86.15385,11.0,8,0.18384605224609374,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C26200000,2025-11-14 20:51:04+00:00,26200.0,0.4,0.0,0.85,-3.5,-89.74359,27.0,7,0.20270572692871092,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C26300000,2025-11-14 20:29:29+00:00,26300.0,0.47,0.0,0.8,-2.6299999,-84.83871,2.0,14,0.21588918884277342,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C26400000,2025-11-14 20:48:28+00:00,26400.0,0.65,0.0,0.75,-1.7500001,-72.91667,23.0,23,0.2287064434814453,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C26500000,2025-11-14 20:52:20+00:00,26500.0,0.37,0.0,0.75,-1.7299999,-82.38095,31.0,29,0.24286645812988278,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C26600000,2025-11-14 20:38:42+00:00,26600.0,0.15,0.0,0.7,-0.94000006,-86.23853,2.0,16,0.25501233276367197,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C26700000,2025-11-14 18:50:30+00:00,26700.0,0.42,0.0,0.7,-0.47,-52.808987,51.0,23,0.2688671746826171,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C26800000,2025-11-14 21:03:56+00:00,26800.0,0.05,0.0,0.65,-1.6500001,-97.05883,66.0,64,0.2804637384033203,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C26900000,2025-11-14 20:58:38+00:00,26900.0,0.28,0.0,0.65,-1.32,-82.50001,6.0,34,0.29395237304687494,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C27000000,2025-11-14 21:02:04+00:00,27000.0,0.25,0.0,0.6,-0.85,-77.27273,3.0,41,0.30493859130859374,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C27100000,2025-11-14 20:58:38+00:00,27100.0,0.13,0.0,0.6,-0.42000002,-76.36363,10.0,13,0.3181220532226562,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C27200000,2025-11-14 15:56:12+00:00,27200.0,0.25,0.0,0.6,-0.85,-77.27273,2.0,3,0.3311834460449219,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C27400000,2025-11-14 20:24:31+00:00,27400.0,0.45,0.0,0.55,-0.120000005,-21.052633,1.0,11,0.3541324353027343,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C27500000,2025-11-14 20:51:04+00:00,27500.0,0.23,0.0,0.55,-0.17999999,-43.90244,2.0,7,0.36694968994140625,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C27600000,2025-11-11 20:34:46+00:00,27600.0,0.65,0.0,0.55,0.0,0.0,1.0,1,0.3795228063964844,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C27800000,2025-11-04 15:08:02+00:00,27800.0,3.07,0.0,0.5,0.0,0.0,,5,0.4010069665527344,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C27900000,2025-11-04 15:08:02+00:00,27900.0,2.55,0.0,0.5,0.0,0.0,,5,0.4133359448242187,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C28000000,2025-11-13 17:07:36+00:00,28000.0,0.1,0.0,0.5,0.0,0.0,1.0,23,0.4255428540039063,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C28100000,2025-10-29 19:53:27+00:00,28100.0,21.5,0.0,0.5,0.0,0.0,,3,0.43774976318359377,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C28200000,2025-10-29 19:53:27+00:00,28200.0,18.55,0.0,0.5,0.0,0.0,,12,0.4497125341796875,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C28500000,2025-10-29 19:50:00+00:00,28500.0,11.7,0.0,0.45,0.0,0.0,1.0,5,0.4810842907714844,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C28700000,2025-11-07 20:27:26+00:00,28700.0,0.5,0.0,0.45,0.0,0.0,1.0,1,0.5043994873046875,False,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C28800000,2025-11-06 17:46:46+00:00,28800.0,0.95,0.0,0.45,0.0,0.0,,1,0.5159960510253907,False,REGULAR,USD,2025-11-17,^NDX,calls
