contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,symbol,type
NDXP251117C21000000,2025-11-14 19:45:12+00:00,21000.0,4113.15,3948.7,4148.6,118.91992,2.9772928,20.0,20.0,1.371371551361084,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C22000000,2025-11-14 14:56:20+00:00,22000.0,2839.72,2949.0,3148.8,-141.83008,-4.756924,1.0,1.0,1.066243072128296,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C22600000,2025-11-14 19:45:12+00:00,22600.0,2514.35,2349.3,2549.2,116.56006,4.8611455,20.0,20.0,0.8845836737060546,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C23800000,2025-11-06 15:06:27+00:00,23800.0,1627.85,1152.8,1331.8,0.0,0.0,1.0,1.0,0.7196034814834595,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C23900000,2025-11-06 15:06:27+00:00,23900.0,1533.85,1054.0,1241.3,0.0,0.0,1.0,1.0,0.6997100341796876,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C24000000,2025-11-14 20:51:40+00:00,24000.0,1029.86,957.4,1148.0,0.0,0.0,5.0,0.0,0.672374186935425,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C24200000,2025-11-14 16:02:02+00:00,24200.0,866.08,817.7,928.7,190.96002,28.285345,6.0,0.0,0.5529143219757081,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C24310000,2025-11-14 20:49:22+00:00,24310.0,704.37,719.1,788.0,-3.1500244,-0.44522053,4.0,0.0,0.4489152704238892,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C24350000,2025-11-14 20:49:22+00:00,24350.0,666.87,681.1,750.0,-3.1500244,-0.47013885,4.0,0.0,0.4367808397674561,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C24480000,2025-11-14 14:45:47+00:00,24480.0,406.2,552.6,626.7,1.7999878,0.4451008,10.0,0.0,0.3954680815124512,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C24500000,2025-11-14 14:45:47+00:00,24500.0,390.8,538.3,610.0,-96.400024,-19.78654,10.0,1.0,0.3927787468338013,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C24550000,2025-11-14 20:02:43+00:00,24550.0,630.65,487.1,563.6,376.64,148.27763,12.0,0.0,0.37727597217559816,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C24600000,2025-11-07 18:00:13+00:00,24600.0,478.2,451.2,522.0,0.0,0.0,2.0,1.0,0.36892949802398683,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C24620000,2025-11-14 14:35:43+00:00,24620.0,237.0,433.7,501.5,0.0,0.0,1.0,0.0,0.3589770523834229,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C24690000,2025-11-14 14:52:04+00:00,24690.0,300.0,386.2,426.2,70.0,30.434782,2.0,0.0,0.3180190574264526,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C24700000,2025-11-14 19:09:30+00:00,24700.0,421.38,377.9,417.9,18.890015,4.693288,4.0,2.0,0.3159782147979736,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C24710000,2025-11-14 14:51:02+00:00,24710.0,267.9,369.7,409.7,37.5,16.276043,6.0,0.0,0.31403273864746095,True,REGULAR,USD,2025-11-17,^NDX,calls
NDXP251117C24720000,2025-11-14 16:14:38+00:00,24720.0,396.98,361.5,401.5,162.18,69.07154,6.0,0.0,0.31202622795104973,True,REGULAR,USD,2025-11-17,^NDX,calls
